feature,fraud_mean,fn_mean,fn_std,deviation_from_fraud,abs_deviation
ProductCD,2.008433344145313,3.101229211858279,1.547564238603621,0.5903749354089305,0.5903749354089305
V302,0.6247161855335712,0.29862617498192334,0.5364212425367032,-0.5215511899165546,0.5215511899165546
V50,0.41907233214401557,0.1735357917570499,0.3788468010711503,-0.4975539313866115,0.4975539313866115
V304,0.6607200778462536,0.3152566883586406,0.5594524430990174,-0.49500732409561254,0.49500732409561254
V15,0.41453130068115474,0.16630513376717282,0.3744265458401365,-0.4946168950264116,0.4946168950264116
V16,0.41453130068115474,0.16630513376717282,0.3744265458401365,-0.4946168950264116,0.4946168950264116
id_35,0.5877392150502757,0.8300795372378886,0.37569876166398175,0.492239984663315,0.492239984663315
V94,0.4346415828738242,0.19305856832971802,0.3948413393418058,-0.487268551818486,0.487268551818486
V42,0.4388582549464807,0.17208966015907448,0.3999300417134665,-0.47619771905598585,0.47619771905598585
V31,0.4304249108011677,0.19161243673174258,0.3955456619280602,-0.47354739594106265,0.47354739594106265
V32,0.43074927019137205,0.19161243673174258,0.3955456619280602,-0.4735449357982153,0.4735449357982153
V33,0.44210184884852416,0.2031814895155459,0.4043056987074646,-0.4729808227869419,0.4729808227869419
V34,0.4547518650664937,0.21908893709327548,0.4155237067122608,-0.46534356500526436,0.46534356500526436
V303,0.7129419396691534,0.34273318872017355,0.622506294928992,-0.4636463507955459,0.4636463507955459
V21,0.41615309763217645,0.18872017353579176,0.3987535161571955,-0.4582760313524039,0.4582760313524039
V22,0.41615309763217645,0.18872017353579176,0.3987535161571955,-0.4582760313524039,0.4582760313524039
V84,0.4492377554330198,0.19088937093275488,0.43006175815527575,-0.4511159933489911,0.4511159933489911
V51,0.48589036652611095,0.2002892263195951,0.4145681800516535,-0.4428015860114205,0.4428015860114205
V79,0.5056762893285761,0.18510484454085321,0.43591741656510047,-0.4407178957443642,0.4407178957443642
V92,0.48880960103795007,0.19305856832971802,0.4110039966706896,-0.4390687017201995,0.4390687017201995
card3,163.0210833603633,155.17932031814894,13.477309240767342,-0.43695513991972457,0.43695513991972457
id_17,188.72072656503406,175.49891540130153,21.741704147949118,-0.4341407290841775,0.4341407290841775
V17,0.4492377554330198,0.19595083152566883,0.4200969192982337,-0.4305131498329695,0.4305131498329695
V93,0.5209211806681804,0.20679681851048445,0.45240642139575876,-0.43043803998942104,0.43043803998942104
V18,0.45053519299383715,0.19884309472161968,0.4289776398015986,-0.42612786516743084,0.42612786516743084
V80,0.49756730457346743,0.19884309472161968,0.4551666326699045,-0.4249864035043336,0.4249864035043336
V57,0.4106389879987026,0.1742588575560376,0.4088418708334501,-0.4226289592626596,0.4226289592626596
V39,0.5196237431073629,0.1822125813449024,0.44207315624353133,-0.41973845884651667,0.41973845884651667
V52,0.5514109633473889,0.22631959508315258,0.47221034486407865,-0.41862834428962087,0.41862834428962087
V71,0.41453130068115474,0.1829356471438901,0.4156118371560448,-0.4136249123966554,0.4136249123966554
V40,0.5851443399286409,0.19450469992769343,0.4979540163528334,-0.41351829575848353,0.41351829575848353
V63,0.4031787220240026,0.17787418655097614,0.40993712244944014,-0.4128579652368966,0.4128579652368966
V58,0.44048005189750244,0.18799710773680406,0.45101650104778707,-0.4053348896040643,0.4053348896040643
V81,0.5530327602984106,0.21908893709327548,0.5289150433236696,-0.4020684711599314,0.4020684711599314
V72,0.4443723645799546,0.19667389732465654,0.4569013326020153,-0.3974243694174104,0.3974243694174104
V73,0.46026597469996755,0.21908893709327548,0.44738834684744494,-0.3894620158825236,0.3894620158825236
V258,2.2053194939993515,1.1091829356471439,0.5369915235105678,-0.3854146917172011,0.3854146917172011
V36,0.5358417126175803,0.7440347071583514,0.5267025225637377,0.38047936589701975,0.38047936589701975
V257,2.012325656827765,1.076644974692697,0.3627715637151808,-0.37606258397211806,0.37606258397211806
V59,0.4326954265325981,0.19378163412870572,0.4782282499848577,-0.3759330325931905,0.3759330325931905
V60,0.46513136555303275,0.19812002892263195,0.4913986006434351,-0.3744650544548938,0.3744650544548938
V13,0.5377878689588064,0.7469269703543022,0.5664424485195374,0.3711974103627086,0.3711974103627086
V43,0.5261109309114499,0.23571945046999276,0.7313308147468222,-0.36766330752352727,0.36766330752352727
V35,0.501783976646124,0.6883586406362979,0.4847027332196771,0.3655792035828835,0.3655792035828835
V74,0.5102173207914369,0.2646420824295011,0.49974016246332764,-0.3632733529915226,0.3632733529915226
V246,1.8718780408692832,1.046999276934201,0.24051477445024974,-0.3456907658934295,0.3456907658934295
V85,0.5348686344469672,0.25813449023861174,0.7612380363823935,-0.34361529811413777,0.34361529811413777
