stage,description,features_remaining,test_auc_roc,test_auc_pr,test_f1,test_p_at_r80,cv_auc_roc_mean,cv_auc_roc_std,delta_auc_roc,ttest_pvalue,significant
Stage 0: Full Model,All features retained (baseline),432,0.8969115536687321,0.5147013687285686,0.4428813338543702,0.1485876046497621,0.9612088787390409,0.0024814212333379875,0.0,,
Stage 1: Remove TransactionAmt,Strongest single fraud predictor removed,431,0.8940070256900998,0.5019789382600139,0.43909459636268483,0.1473715651135006,0.9585185266237509,0.0030657874151134613,-0.0029045279786322764,0.005632972460857717,True
Stage 2: Remove Card Identifiers,Card number hashes and attributes removed,425,0.8806326088573492,0.4827999568825388,0.3813785021838713,0.1217249716287561,0.9460754694015876,0.002472930695081831,-0.013374416832750646,1.4210869347652088e-05,True
Stage 3: Remove Address/Distance,Geographic identifiers removed,421,0.8755809099585572,0.48472139767931394,0.3802559414990859,0.12044312137035772,0.9418143785156357,0.0027340918387180725,-0.005051698898791979,0.000250134632831758,True
Stage 4: Remove Match Features,Boolean match features removed,412,0.8739982627739301,0.4741948649320312,0.3157810754747088,0.12025933508823243,0.9405074894400253,0.002925723193605067,-0.001582647184627084,0.033224451423975995,True
Stage 5: Remove Counting Features,Counting features removed,398,0.8575122921616694,0.43756657284965295,0.3181151290239061,0.09454643007703216,0.9251863428902485,0.004280836853089708,-0.01648597061226076,5.6491853937787776e-05,True
Stage 6: Remove Top Vesta Features,Top 50% Vesta features by SHAP removed,229,0.8323314750229043,0.407344508890762,0.3114346263705888,0.08247526076491041,0.8987584075822952,0.004602345291175505,-0.025180817138765077,5.148586639179221e-07,True
Stage 7: Behavioural Only,Only behavioural/temporal/device features retained,49,0.8009713721141232,0.28342346641469884,0.25863972149104186,0.0691508720848848,0.8931639781290869,0.004411636632004267,-0.03136010290878111,0.003326815855817881,True
