feature,global_mean,fp_mean,fp_std,deviation,abs_deviation
V282,0.7954527494609454,1.6976503109882515,1.341002202480142,0.9281322200949635,0.9281322200949635
V74,0.142231404025694,0.4592259847961299,0.6611767851115099,0.8226343262985266,0.8226343262985266
V34,0.1332678565380838,0.4032480995162405,0.5052128770242764,0.7891454973343075,0.7891454973343075
V283,0.9921089172621669,2.3344851416724257,2.235234485523874,0.7878052362493646,0.7878052362493646
V52,0.1326695340987345,0.42605390463026954,0.6270973893293812,0.7790411888049957,0.7790411888049957
V94,0.11814045901491291,0.3631651693158258,0.4809949817849142,0.7589519808198367,0.7589519808198367
V33,0.11863717953059912,0.36351071181755357,0.48751673326699724,0.7541836698172902,0.7541836698172902
V73,0.12446235648728282,0.3866620594333103,0.5909576600113343,0.7420718921526611,0.7420718921526611
V51,0.1204660141565347,0.3700760193503801,0.5517306408572462,0.7248742281526841,0.7248742281526841
V90,0.3642203181269121,0.006219765031098825,0.07863342875662292,-0.710580365774278,0.710580365774278
ProductCD,3.361138393109132,2.4205252246026263,1.8308359239204166,-0.7068761033474307,0.7068761033474307
V69,0.356092164233865,0.006219765031098825,0.07863342875662292,-0.6967031085869578,0.6967031085869578
V29,0.35433106422370486,0.008638562543192813,0.09255753890283493,-0.6923139605834853,0.6923139605834853
V91,0.3814474887391201,0.006910850034554251,0.09454858090506196,-0.6839324299246237,0.6839324299246237
V281,0.08738894345288493,0.4550794747753974,1.0926110650238958,0.6813755418192727,0.6813755418192727
V57,0.10752870254343483,0.3310297166551486,0.5757135464847709,0.6798734634999337,0.6798734634999337
V70,0.37243878484099296,0.006910850034554251,0.09454858090506196,-0.6738588604748535,0.6738588604748535
V30,0.37252909766202685,0.009329647546648237,0.10639441571765232,-0.6680551839266751,0.6680551839266751
D15,175.2119754800691,28.902902557014514,78.40217278062269,-0.6678512259378764,0.6678512259378764
V16,0.10614014292003929,0.3130615065653075,0.4856624879614128,0.6659437337504911,0.6659437337504911
V15,0.10591436086745465,0.3099516240497581,0.47143550158639974,0.6595897136782245,0.6595897136782245
card6,1.7653560018514127,1.4913614374568072,0.5000117647894916,-0.6465513526626133,0.6465513526626133
